Supplier,Supplier Code,Section,Season,Supp.Art.Code,Article Code,Article Name,Color Name,Color Code,Treatment Name,Treatment Code,Composition,Weave,Stretch,Construction,Weight GSM,Width CM,Dye Type,Care Label,Barcode/QR,Base Price EUR,Color Hex,Image URL,,Image
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,122-6326,234-5007,MUNICH,TARCHIN,OM720,DELOOR,3R201,100% CO,PLAIN,RIGID,30/1 - 20/1,190,150,,,,3.4,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,122-6326,234-5007,MUNICH,AEREO,MM80,HYBRID,X900,100% CO,PLAIN,RIGID,30/1 - 20/1,190,150,,,,3.4,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,122-6326,234-5007,MUNICH,ORION,TM620,HYBRID,X900,100% CO,PLAIN,RIGID,30/1 - 20/1,190,157,,,,3.6,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,122-6326,122-6326,MURANO,AEREO,MM80,HYBRID,X900,100% CO,PLAIN,RIGID,30/1 - 20/1,190,150,,,,3.4,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,122-6326,122-6326,MURANO,ORION,TM620,DELOOR,3R201,100% CO,PLAIN,RIGID,30/1 - 20/1,190,157,,,,3.6,,,,
SUZER TEKSTIL,DOS-0001,OVERDOSE,SS25,122-6326,122-6326,MURANO,SILVER,TM320,VEL-MAX,VMX080,100% CO,PLAIN,RIGID,30/1 - 20/1,190,157,,,,3.6,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,122-6326,122-6326,MURANO-DLR,,HL340,DELOOR,3R201,100% CO,PLAIN,RIGID,30/1 - 20/1,190,157,,,,3.6,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,122-6326,122-6326,MURANO-DLR,TARÇIN,OM720,DELOOR,3R201,100% CO,PLAIN,RIGID,30/1 - 20/1,190,157,,,,3.6,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,126-4536,126-4536,MURATTI,ICE-CREAM,BM086,HARDY,X1200,97% CO 3% EA,PLAIN,WEFT,60/2 - 40/2,172,165,,,,5.3,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,557027-BREEZE INDIGO,234-7120,MONC,NAUTICA,NM770,DELOOR,3R201,97% CO 3% EA,TWILL,WEFT,,265,160,,,,3.9,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,557027-BREEZE HAKI,234-7120,MONC,WANDERLUST,HM580,DELOOR,3R201,97% CO 3% EA,TWILL,WEFT,,265,160,,,,3.9,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,DEVENTON DLX,332-1217,MUSTANG,SERA,NM850,VELOX,VX503,100% CO,TWILL,RIGID,50/1-60/1,155,150,,,,4.6,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,1239839,123-9839,MYRIAM,,,,,100% CO,PLAIN,RIGID,40/1 - 100/2,,153,,,,,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,1214238,121-4238,NAMURA,EUCALPYTUS,V7,GARMENT-DYE,G-DYE,,PLAIN,RIGID,,160,150,,,,,,,,
KUKRER TEKSTIL,DOS-0005,CHARME SS,SS25,KL05669-V01-00,540-2127,PALMOLITA,NAVY-SILVER,V1,VTRANS,X800,77% CO 15% PA 8% PES,FANCY,RIGID,,85,161,,,,,,,,
KUKRER TEKSTIL,DOS-0005,CHARME SS,SS25,KL05669-V02-00,540-2127,PALMOLITA,BLUE-GOLD,V2,VTRANS,X800,77% CO 15% PA 8% PES,FANCY,RIGID,,85,161,,,,,,,,
KUKRER TEKSTIL,DOS-0005,CHARME SS,SS25,KL05669-V03-00,540-2127,PALMOLITA,BEIGE-COPPER,V3,VTRANS,X800,77% CO 15% PA 8% PES,FANCY,RIGID,,85,161,,,,,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,4142-ANDREW,330-1125,MEER,ANTELOPE,V8,GARMENT-DYE,G-DYE,98% CO 2% EA,SATEEN,WEFT,40/1-30/1,185,135,,,,,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,693642,693642,CANNES,L.BEIGE,DD215,GARMENT-DYE,G-DYE, 98% CO 2% EA,SATEEN,WEFT,,175,150,,,,4.2,,,,
SUZER TEKSTIL,DOS-0001,CHARME SS,SS25,128752,127-8752,PAMELA,ABBEY,HM205,,,58% PA 42% CO,SATEEN,RIGID,,175,152,,,,,,,,
SUZER TEKSTIL,DOS-0001,MEILLEUR HOMME SS,SS25,1135939,113-5939,PARS,,NL650,,,53% PA 42% CO 5% EA,FANCY,WEFT,,175,128,,,,,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,1201633,120-1633,PAXTON,AYDER,HM724,DELOOR,3R201,70% CO 30% PA,FANCY,RIGID,,230,150,,,,4.4,,,,
SUZER TEKSTIL,DOS-0001,CHARME SS,SS25,1262943,126-2943,PETRA,GREEN-STRP,V1,,,75% CO 21% PA 3%EA,SATEEN,WEFT,,135,150,,,,,,,,
SUZER TEKSTIL,DOS-0001,CHARME SS,SS25,1285143,126-2943,PETRA,BLUE-STRP,V2,,,75% CO 21% PA 3%EA,SATEEN,WEFT,,135,150,,,,,,,,
SUZER TEKSTIL,DOS-0001,CHARME SS,SS25,1285043,126-2943,PETRA,FUXIA-STRP,V3,,,75% CO 21% PA 3%EA,SATEEN,WEFT,,135,150,,,,,,,,
SUZER TEKSTIL,DOS-0001,CHARME SS,SS25,1336347,133-6347,PETRA,BEIGE-BLACK-STRP,V1,,,73% CO 24% PA 3% EA,SATEEN,WEFT,,135,150,,,,,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,992235,992235,PHILIPPE,PICANTE,OM900,HARDY,X1200,69% CO 31% PA,TWILL,RIGID,,210,150,,,,4.2,,,,
